"Tm","WinP","Salary","Year","log.Salary"
"SFG",0.546,42738334,1998,17.5706068272172
"STL",0.512,54672521,1998,17.8168717828499
"TBD",0.389,27280000,1998,17.1216643909395
"TEX",0.543,56752095,1998,17.854203129944
"TOR",0.543,51376000,1998,17.7546816953114
"ANA",0.432,55633166,1999,17.8342900921703
"ARI",0.617,68703999,1999,18.0453179651055
"ATL",0.636,73341000,1999,18.1106303556386
"BAL",0.481,80805863,1999,18.20756008274
"BOS",0.58,64097500,1999,17.9759159195703
"CHC",0.414,62343000,1999,17.948161954341
"CHW",0.466,25820000,1999,17.0666599433828
"CIN",0.589,33962761,1999,17.3407752176338
"CLE",0.599,73679962,1999,18.1152414341674
"COL",0.444,61935837,1999,17.9416095200472
"DET",0.429,36689666,1999,17.4180056929921
"FLA",0.395,21085000,1999,16.8640724451628
"HOU",0.599,55114000,1999,17.824914325334
"KCR",0.398,26660000,1999,17.0986748727148
"LAD",0.475,81062453,1999,18.2107304402412
"MIL",0.46,43377395,1999,17.5854490108453
"MIN",0.394,22107500,1999,16.911427475432
"MON",0.42,17903000,1999,16.7004788545334
"NYM",0.595,68852092,1999,18.047471167572
"NYY",0.605,86934359,1999,18.2806638975919
"OAK",0.537,24831833,1999,17.0276369767492
"PHI",0.475,31897500,1999,17.278038194778
"PIT",0.484,25047666,1999,17.0362912075015
"SDP",0.457,49768179,1999,17.7228863618592
"SEA",0.488,54125003,1999,17.8068067997142
"SFG",0.531,46798057,1999,17.661352242932
"STL",0.466,49988195,1999,17.7272974355164
"TBD",0.426,38870000,1999,17.4757333028284
"TEX",0.586,76709931,1999,18.1555417364435
"TOR",0.518,45444333,1999,17.6319986843451
"ANA",0.506,52664167,2000,17.7794458391715
"ARI",0.525,81027833,2000,18.2103032708978
"ATL",0.586,84737836,2000,18.2550727659001
"BAL",0.457,82347435,2000,18.2264578665618
"BOS",0.525,79975333,2000,18.1972288075924
"CHC",0.401,60539333,2000,17.9188038439881
"CHW",0.586,31743500,2000,17.2731985379346
"CIN",0.525,46867200,2000,17.6628286284088
"CLE",0.556,76972271,2000,18.1589557980772
"COL",0.506,61111190,2000,17.9282055497628
"DET",0.488,59645167,2000,17.9039236805937
"FLA",0.491,20347000,2000,16.828444038838
"HOU",0.444,51289111,2000,17.7529890264018
"KCR",0.475,24903000,2000,17.0304988361053
"LAD",0.531,88124286,2000,18.2942587169362
"MIL",0.451,37305333,2000,17.4346468502653
"MIN",0.426,17529500,2000,16.6793957339578
"MON",0.414,32994333,2000,17.3118463774112
"NYM",0.58,79509776,2000,18.191390540618
"NYY",0.54,93113260,2000,18.3493271596028
"OAK",0.565,33172333,2000,17.3172267430896
"PHI",0.401,47513000,2000,17.6765139157707
"PIT",0.426,31328334,2000,17.2600334856447
"SDP",0.469,55021000,2000,17.8232254885046
"SEA",0.562,60495000,2000,17.9180712749577
"SFG",0.599,53737826,2000,17.7996277062954
"STL",0.586,61653863,2000,17.93704644579
"TBD",0.429,63265129,2000,17.9628448506455
"TEX",0.438,70795921,2000,18.0753119440099
"TOR",0.512,46038332,2000,17.6449849117959
"ANA",0.463,47735167,2001,17.6811789378893
"ARI",0.568,85082999,2001,18.2591377968523
"ATL",0.543,91936166,2001,18.3366050463634
"BAL",0.391,74279540,2001,18.1233461016455
"BOS",0.509,110035833,2001,18.5163166252557
"CHC",0.543,64715833,2001,17.9855164435984
"CHW",0.512,65653667,2001,17.9999040139696
"CIN",0.407,48986000,2001,17.7070451009651
"CLE",0.562,93360001,2001,18.3519735566538
